id,area,feature,user_story,expected_behavior,hermes_relevance,status,error_notes
F011,cli,serve --answer-gate,"As an agent enabling the live grill loop, I want the answer-gate API mounted on the same origin as the docs so the doc's Submit button can POST answers and the polling client can retrieve them.","Mounts /api/hwq/* same-origin via createHwqHandler({prefix:'/api/hwq', docsDir}) with onAnswer OMITTED (undefined) — copy/submit/poll mode only, no delivery callback, retry loop does NOT start. Store persists to {root}/data/hwq.json. All seven HWQ routes available: POST /open, GET /status, POST /submit, GET /result, POST /close, POST /retry, GET /docrev. Without --answer-gate those routes are absent and the doc's Submit fails silently. [code: src/commands/serve.mjs:96-108; server/hwq-server.mjs:82-120]",Hermes must start `htw serve --answer-gate` before `htw grill ask` (grill ask POSTs /open and polls /result). A private Hermes host can instead mount programmatically WITH an onAnswer callback; the public `htw serve --answer-gate` deliberately omits onAnswer — the delivery seam ships only in the private host.,tested-pass,
F012,cli,serve --port / --host / --allow-external,"As an agent or operator needing docs accessible on a network (Tailscale/LAN), I want to bind the server on a non-loopback address with an explicit port.","--port overrides config.serve.port (default 8765); --host sets the bind address (default 127.0.0.1). If --host resolves to a non-loopback address (anything outside 127.0.0.1, ::1, localhost, 0:0:0:0:0:0:0:1) and --allow-external is NOT present, the server refuses to start with exit 1 + a clear error to stderr. With --allow-external, any host is accepted. The guard is a synchronous pre-flight, not a per-request check. [code: src/commands/serve.mjs:28,91-101]","Hermes driving a remote doc review (Homebase on a Tailscale node) must pass `--host 0.0.0.0 --allow-external`. Without --allow-external the safety guard exits 1, surfaced as a fatal server-start failure.",tested-pass,
F013,cli,grill ask --doc <slug> (blocking poll loop),"As an agent that authored grill cards and needs the human to answer before proceeding, I want a blocking gate that lights up the doc in the browser and waits for the human to submit answers, then delivers them on stdout.","POSTs {docKey,prompt} to <base>/open (doc shows the asking-banner, CSS 'asking'). Derives docKey as /docs/prds/<slug>/ from --doc (or literal --key). Polls <base>/result?key=<docKey>&since=<openAt> every --poll ms (default 1500) until j.submission arrives or --timeout ms elapses (default 30min). Success: emits the submission JSON between ===HWQ-ANSWERS-BEGIN===/===HWQ-ANSWERS-END=== on stdout (+ delivery block if present), exits 0. Timeout: best-effort POST /close, exit 2. Open failure (not a connection error): exit 3. Bad subcommand: exit 64. Connection errors mid-poll are swallowed (server-restart tolerance). [code: src/commands/grill.mjs:171-261]","Primary Hermes<->human handoff. Hermes blocks on `htw grill ask --doc <slug>`, parses the submission JSON from stdout as {doc,docKey,total,answers:[{id,title,decision,comment}],payload,submittedAt}. Exit 0=answers, 2=timeout, 3=open failed, 64=usage. Hermes surfaces exit 2 as 'no answers received in time'.",fixed,"The core blocking behavior works: POSTs to /open with docKey='/docs/prds/test-prd/', polls /result, exits 2 on timeout, calls /close as cleanup. However the timeout display in stderr always shows '0m' for any timeout under 1 minute (Math.round(timeoutMs / 60000) floors sub-minute values to 0). For 5000ms timeout: 'timeout 0m'. For the 30-minute default this shows correctly as '30m', but for short test/dev timeouts the display is meaningless. | FIXED P3"
F014,cli,grill ask --no-wait / --open-only / --background,"As an agent that wants to light up the doc's question section without blocking my execution thread, I want to open the ask asynchronously and check for answers later.","After a successful POST /open, immediately writes {ok:true, docKey, openAt, mode:'open-only'} as JSON to stdout and exits 0. Does NOT start the polling loop. --open-only and --background are aliases of --no-wait. [code: src/commands/grill.mjs:183-185,224-228]","Hermes fires `htw grill ask --doc <slug> --no-wait` to open a gate, captures the JSON (records openAt), then later GETs <base>/result?key=<docKey>&since=<openAt> directly — no blocking subprocess. Correct for multi-step flows that queue multiple asks before blocking on any.",tested-pass,
F015,cli,grill ask --base <url>,"As an agent connecting to a non-default answer-gate (e.g. Homebase's Vite middleware at a different URL), I want to specify the full answer-gate base URL explicitly.","resolveBase() checks --base first, then config.answerGate.base. Relative values (no https?:// prefix) are prepended with config.devUrlBase (default http://127.0.0.1:8765) to form an absolute URL. Trailing slashes stripped. Routes appended as <base>/open, <base>/result, <base>/close. [code: src/commands/grill.mjs:64-72]","When Homebase hosts the gate (port 3141, /api/hwq), Hermes passes `--base http://127.0.0.1:3141/api/hwq` — the primary Homebase integration path. When config.answerGate.base is already correct, --base can be omitted.",tested-pass,
F016,cli,grill ask --poll <ms> and --timeout <ms>,"As an agent in a time-sensitive flow, I want to control how often I check for answers and how long I wait before giving up, to tune urgent vs. relaxed reviews.","--poll sets the interval between /result polls (default 1500ms). --timeout sets the total wait budget (default 1,800,000ms = 30min). After the deadline, /close is called and exit code 2 is returned with `timed out with no submission`. [code: src/commands/grill.mjs:187-188,231-259]","Hermes tunes --timeout to context (e.g. 300000 = 5min for quick decisions, 86400000 = 24h for async reviews). --poll 3000 reduces request noise. Both optional with sensible defaults.",fixed,"Functional behavior correct: --poll 500 --timeout 3000 exits 2 after ~3076ms with 'timed out with no submission'. However the timeout display has the same 'Math.round(timeoutMs / 60000)' floor-to-zero issue as F013: stderr shows 'timeout 0m' for a 3-second timeout. For sub-minute timeout values, the display is uninformative. | FIXED P3"
F017,cli,grill ask --stdin-fallback,"As an agent in an environment where the answer-gate server is not running, I want the CLI to gracefully degrade to a stdin-based flow so the human (or I) can still provide answers via shorthand.","When --stdin-fallback is set and the initial /open fails with a connection-class error (ECONNREFUSED, ENOTFOUND, ECONNRESET, EHOSTUNREACH, ETIMEDOUT, UND_ERR_SOCKET, UND_ERR_CONNECT_TIMEOUT, or a 'fetch failed' TypeError), instead of exit 3 it prints the open questions extracted from the rendered HTML (via data-qid/data-qtitle regex) to stderr, then reads shorthand from stdin. Shorthand: `<n>r [— note]` => approve; `<n> <answer>` => custom; tokens split on `|` or newlines. On EOF emits the same ===HWQ-ANSWERS-BEGIN===/END=== output with source:'stdin-fallback'. Does NOT trigger on HTTP 4xx/5xx. Exits 0. [code: src/commands/grill.mjs:37-62,74-95,109-169,207-213]","Hermes can pipe shorthand directly: `echo '1r | 2 override text' | htw grill ask --doc <slug> --stdin-fallback` — a fully offline answer path for testing, CI without a mounted gate, or scripted approvals. The emitted JSON shape is identical to the online path, so downstream parsing is the same.",tested-pass,
F018,theme,Default walnut theme — light-mode surface ramp tokens,"As an agent rendering a doc in a bare repo, I want every surface (background, ink, borders, cards, chips) to look polished without configuration so docs are immediately presentable.","The :root block declares eight surface tokens: --bg #f7f4ee (parchment), --fg #1f1d1a (warm near-black ink), --muted #6f685e, --line #ddd4c6 (hairlines), --panel #fffaf2 (card/callout/tab fill), --soft #eee5d7 (chips/code/insets), --accent #6f4d2f (walnut — links/focus/active), --on-accent #fdfaf4. All HTML components reference these tokens — no hardcoded hex in layout rules — so the whole surface is driven by this one :root block. [code: templates/theme.css:28-68]","Theme is inlined at render time by themeCss(); no runtime CSS resolution. `htw render` output HTML is self-contained (theme inlined verbatim), renderable in any browser/static host with no network dependency.",fixed,"All 8 surface tokens are correctly declared in :root and the CSS is inlined (no external stylesheet links). However, `templates/theme.css` line 742 inside `.qcard[data-state=""answered""]` uses a hardcoded `rgba(31, 29, 26, 0.06)` for the ambient shadow layer, bypassing the token system. The spec states 'All HTML components reference these tokens — no hardcoded hex in layout rules.' While the spec says 'hex' specifically, this hardcoded rgba is the light-mode ink color (--fg) at 6% opacity and does not adapt in dark mode. The dark-mode --shadow-border token uses `rgba(0,0,0,0.34)` for ambient depth; this answered-card rule stays on the light-mode value. Fix: replace with `color-mix(in oklab, var(--fg) 6%, transparent)` or reference `var(--shadow-border)` ambient layers. | FIXED P3"
F019,theme,Default walnut theme — semantic color tokens,"As an agent writing a grill answer or decision table, I want Decided/Open/Risk statuses to carry consistent color meaning (green/amber/red) so humans parse state at a glance.","Three semantic tokens alongside the surface ramp: --green #1f6b4a (decided/done/approve), --amber #8a5a12 (open/pending/caution), --red #9f2f2f (risk/blocker/disapprove). Applied as inline styles on .status/.warn, aria-pressed fill on .qapprove/.qreject, and .qcopy.copied/.qsubmit.done states. Tone is the engine's responsibility — agents write semantic .doc.md, never hardcode colors. [code: templates/theme.css:41-43]","Hermes never emits raw color CSS. Grill answers go via the gate/CLI; tone is applied by the renderer from decision/question semantics. `htw verify` output uses text state strings (Decided/Open), not color codes.",tested-pass,
F020,theme,Default walnut theme — shape and shadow-as-border,"As a doc viewer on any device, I want cards to feel elevated with depth cues rather than flat borders, and corners to stay sharp to match the editorial house style.","--radius is 0 (sharp rectangles, house style). --shadow-border is a layered transparent shadow: a 0 0 0 1px hairline ring at var(--line) plus two ambient depth layers, applied via box-shadow on .card/.qcard. --shadow-border-hover adds a walnut ring (color-mix accent 32% + line) and heavier lift, paired with transform: translateY(-1px) on :hover. transition is enumerated (box-shadow 0.18s ease, transform 0.18s ease) — never `transition: all`. [code: templates/theme.css:49-57,82-88,285-298,408-425]","Shadow tokens are CSS-only; Hermes does not inspect shadow values. A re-skin via themeTokens can override --radius (e.g. 8px) to round every card, tab, chip, code block, and button at once.",tested-pass,
F021,theme,Dark mode — prefers-color-scheme: dark token override,"As a human reading a rendered doc at night on any browser/OS, I want the doc to flip to a dark editorial palette automatically with no per-doc configuration.","A @media (prefers-color-scheme: dark) block right after :root overrides all eight surface tokens, the three semantic tokens, and both shadow-border variants. Dark values: --bg #1a1714, --fg #ece6dc, --muted #9a9082, --line #3a342d, --panel #221e1a, --soft #2b2620, --accent #c79a6e (warm gold), --on-accent #1a1714, --green #7fce9f, --amber #dcab5e, --red #e89090. Dark shadows use rgba(0,0,0,...). color-scheme: light dark on :root signals form-control rendering. [code: templates/theme.css:29,69-88]","Entirely CSS @media — no CLI flag, no build step, no Hermes action. A themeTokens patch overriding :root applies in both modes unless it ships its own @media block; a themeFile full-replace must declare its own dark mode or the doc has none.",tested-pass,
F022,theme,Self-hosted fonts — Space Grotesk + Public Sans + Spline Sans Mono as embedded data URIs,"As an agent/human rendering a doc on a machine with no internet (airgapped CI, local dev, Tailscale-only server), I want all typefaces to load instantly with no FOUT and no external requests.","Custom props: --font-display ('Space Grotesk','Public Sans',ui-sans-serif,...) for h1/h2/h3 + SVG titles; --font-body ('Public Sans',...) for body + components; --font-mono ('Spline Sans Mono',ui-monospace,...) for code/pre. Two @font-face blocks embed Public Sans (weight 100-900, display swap) and Space Grotesk (weight 300-700) as data:font/woff2;base64 URIs. Raw WOFF2 subsets live in templates/fonts/, re-embedded by `node templates/build-fonts.mjs`. Spline Sans Mono has no @font-face — falls back to system mono. [code: templates/theme.css:59-65,949-966]","Rendered HTML is fully self-contained — no CDN, no font preload in CI. A themeFile full-replace omitting @font-face loses the bundled faces; a themeTokens patch cannot override @font-face (only :root tokens), so fonts are always bundled from the base theme under tier-2 override.",tested-pass,
F023,theme,Polish: font smoothing and text-rendering,"As a human reading a rendered doc on macOS/iOS, I want type to appear crisp and anti-aliased rather than sub-pixel chunky, matching a premium editorial feel.",body { -webkit-font-smoothing: antialiased; -moz-osx-font-smoothing: grayscale; text-rendering: optimizeLegibility; } applied globally on body — every component inherits. No per-element override needed. [code: templates/theme.css:99-101],CSS on the generated body element; always present in output regardless of theme-override tier. A themeFile full-replace must include its own smoothing declarations if desired.,tested-pass,
F024,theme,Polish: text-wrap balance / pretty,"As a human reading a heading or paragraph, I want headings to never leave a lone word dangling on the last line, and body copy to break aesthetically.","h1/h2/h3 declare text-wrap: balance; .lede (subtitle), plain p, and li declare text-wrap: pretty. Browser-native CSS in the base theme; no JS polyfill or author action. [code: templates/theme.css:136,145,153,159,162-164]",Applied passively at render time; no Hermes-specific consideration. A themeFile full-replace should preserve these for prose quality.,tested-pass,
F025,theme,Polish: tabular-nums in data contexts,"As a human scanning a ledger timeline, chip IDs, or stage counter, I want digits to align in columns so I can visually diff numbers across rows.","font-variant-numeric: tabular-nums applied to .chip, .qid, .qcount ('X of Y answered'), .stagestep ('2/7'), ledger .event .small (timestamp/who), and code (inline). Prose uses proportional spacing. [code: templates/theme.css:176,218,387,443,486,766]",Passive CSS. Ledger/stage data emitted via `htw render` gets tabular alignment for free. No action required.,tested-pass,
F026,theme,Polish: :focus-visible accent rings,"As a keyboard user navigating tabs, grill buttons, the back link, or answer controls, I want a clear visible focus indicator so I can track my position.","Every interactive element has a :focus-visible rule with outline: 2px solid var(--accent); outline-offset: 2px — .back, a, .tab, .qclear, .qcopy, .qsubmit, .qbtn. The prior regression (outline:none; box-shadow:none on .tab) is fixed. Accent-colored (walnut light / gold dark), only on keyboard focus (focus-visible). 40px min hit area on .tab and .qbtn. [code: templates/theme.css:125-128,169-173,231,257-260,535-540,679,699-701]","Human a11y concern, but a Hermes-driven Playwright flow sees these indicators when tabbing through interactive elements; the 40px min hit area also aids automated tap/click reliability.",tested-pass,
F027,theme,Polish: staggered card enter animation (docCardIn),"As a human landing on a freshly rendered doc, I want cards to enter in a staggered cascade (not all at once) so the page feels intentional.","@keyframes docCardIn: from {opacity:0; translateY(8px); blur(2px)} to {opacity:1; translateY(0); blur(0)}. Applied to .grid>.card, .qstack>.qcard, section.card with animation 0.5s cubic-bezier(0.2,0.7,0.2,1) backwards. Stagger by nth-child: 0/70/140/210/280/350ms, (n+7)=420ms. `backwards` fill holds opacity:0 during delay (no flash). Under prefers-reduced-motion: reduce, animation is none. [code: templates/theme.css:856-866,878-924]","CSS-only; does not affect HTML structure or CLI output. Hermes renders need not wait for animations. In headless screenshot diffs (where prefers-reduced-motion is often off), account for the 420ms max stagger before capture.",tested-pass,
F028,theme,Polish: tab crossfade animation (docPanelIn),"As a human clicking between tabs in a PRD/progress doc, I want the panel content to fade in smoothly rather than appear instantly.","@keyframes docPanelIn: from {opacity:0} to {opacity:1}. Applied to .panel.active via animation 0.28s ease both. Suppressed under prefers-reduced-motion: reduce. Tab state is driven by inline TAB_SCRIPT JS that toggles .active. [code: templates/theme.css:266-268,868-875,912-924; src/doc-kit.mjs:130-149]","A Hermes-driven headless browser clicking tabs triggers this animation; in automated capture, a ~280ms settle is enough before screenshotting the active panel.",tested-pass,
F029,theme,Polish: card hover lift + will-change discipline,"As a human hovering a card or question card, I want a subtle lift (shadow intensifies, card rises 1px) confirming interactivity, without expensive layout thrash.",".card:hover/.qcard:hover apply box-shadow var(--shadow-border-hover) + transform translateY(-1px). Transitions are enumerated (box-shadow 0.18s ease, transform 0.18s ease) — never `transition: all`. will-change: transform is set ONLY on .qbtn (paint-promotion justified); .card/.qcard do not use will-change. Under prefers-reduced-motion, .card/.qcard transition: none (hover lift disabled). [code: templates/theme.css:285-298,408-425,688,921-923]",Human UX only; no Hermes action. The enumerated-transitions rule matters when an agent writes a themeFile full-replace — follow the same pattern to avoid perf regressions.,tested-pass,
F030,gate,"Three delivery modes: none/copy-only, local standalone, custom onAnswer","As an agent or human driving the grill loop, I need to know which delivery mode the gate runs in so I know whether answers auto-deliver, require polling, or must be copy/pasted.","Mode is fixed at server-construction by whether onAnswer is passed to createHwqHandler. (1) copy-only: no server; the doc's Copy button emits shorthand a human pastes; no /api/hwq routes. (2) local standalone: `htw serve --answer-gate` with onAnswer undefined — /submit persists to data/hwq.json, `htw grill ask` polls /result, no callback fires. (3) custom onAnswer: createHwqHandler({onAnswer}) — on every /submit the callback fires immediately AND a 5s setInterval retry scan re-delivers on failure (the Hermes path). `deliver` is armed only when typeof onAnswer === 'function'; the timer is .unref()-ed. The public package ships onAnswer=undefined. [code: server/hwq-server.mjs:82-121; src/commands/serve.mjs:107-108]","onAnswer IS the Hermes seam. A private Hermes host wires its own onAnswer so answers push to the thread immediately on Submit (no polling). Verify: the public package never wires onAnswer; the delivery infra (backoff, store tracking) exists only for a Hermes-class host to supply.",tested-pass,
F031,gate,POST /open — register an ask and light up the doc,"As an agent running `htw grill ask`, I POST /open so the grill-card HTML transitions to its lit-up (answerable) state and I receive askId + openAt to anchor my /result poll.","Requires docKey in the JSON body; 400 {ok:false, error:'docKey is required'} if missing. On success writes a new HwqAsk to the store (randomUUID askId, openAt:Date.now(), submission:null, delivery:null), overwriting any previous ask for the same docKey. Returns 200 {ok:true, askId, openAt}. The doc's status-poll sees waiting:true on its next GET /status and renders the answer UI. [code: server/hwq-server.mjs:129-135; server/hwq-store.mjs:101-114]",Agents call /open before blocking. The returned openAt is the `since` parameter for all subsequent /result polls so the agent never sees a stale submission from a prior session for the same docKey.,tested-pass,
F032,gate,GET /status — inspect the current ask state,"As an agent or the doc's JS polling client, I GET /status?key=<docKey> to learn whether the gate is waiting for a human answer and to retrieve delivery progress.","Reads the ask for ?key. Returns 200 {ok, waiting, askId, openAt, prompt, hasSubmission, submittedAt, delivery}. waiting is true iff ask.openAt is non-null. Returns the same shape with null/false when no ask exists. NEVER 404 for a missing key — always 200. [code: server/hwq-server.mjs:136-151; server/hwq-store.mjs:117-119]","Hermes polls /status to check delivery without re-opening the poll loop. The delivery field exposes status (pending/delivered/error), attempts, lastAttemptAt, deliveredAt, error — the full delivery audit trail.",tested-pass,
F033,gate,POST /submit — persist answers and trigger optional delivery,"As the in-doc 'Submit to agent' button (or a test harness), I POST /submit with the structured answer payload so the agent's poll loop unblocks and, if a callback is wired, the answers push immediately.","Requires docKey; 400 if missing. Writes the submission {doc, docKey, total, answers:[{id,title,decision,comment}], payload, submittedAt:Date.now()}. Sets openAt=null (closes/de-lights) and delivery=null (resets). If onAnswer is wired, calls deliverAsk immediately; response includes delivery from that attempt. Returns 200 {ok, submittedAt, delivery} — delivery is null with no callback. normalizeAnswers enforces the {id,title,decision,comment} shape. [code: server/hwq-server.mjs:62-74,152-168; server/hwq-store.mjs:123-145]","Where the Hermes push happens. With onAnswer wired, answers reach Hermes in the same HTTP round-trip as the Submit press (no polling lag). delivery.result carries whatever onAnswer(ask) returns, letting the client confirm receipt.",tested-pass,
F034,gate,GET /result — blocking poll endpoint for htw grill ask,"As an agent running `htw grill ask`, I poll /result?key=<docKey>&since=<openAt> to detect when a human has answered so I can unblock and process the submission.","Returns 200 {ok:true, pending:true} while no qualifying submission exists; 200 {ok:true, pending:false, submission, delivery} once ask.submission.submittedAt > since. The since filter ensures the client unblocks only on submissions opened after the current ask (prevents stale prior-session answers from resolving immediately). [code: server/hwq-server.mjs:170-178; src/commands/grill.mjs:231-248]","With a custom onAnswer, /result polling is largely redundant (push delivery). Mode-2 (local standalone) relies entirely on polling /result. The since-gating is critical for multi-turn correctness — an agent must not unblock on a prior-session submission.",tested-pass,
F035,gate,POST /close — cancel an open ask,"As the grill-ask client timing out, or a human cancelling a stale question, I POST /close so the doc reverts to its neutral state and future /status shows waiting:false.",Sets ask.openAt=null for the given docKey. No error if docKey is unknown (silent no-op). Returns 200 {ok:true}. `htw grill ask` calls /close as best-effort cleanup after its poll timeout before returning exit 2. [code: server/hwq-server.mjs:198-203; server/hwq-store.mjs:217-223; src/commands/grill.mjs:251-258],Hermes calls /close when cancelling a grill session (user aborts mid-run). Failure to close leaves the doc lit up until the next /open overwrites the state.,tested-pass,
F036,gate,POST /retry — manually trigger the delivery retry scan,"As an agent/operator who suspects a delivery callback is stuck in error, I POST /retry to kick the pending-delivery scan immediately rather than waiting for the next automatic interval.","Calls retryPending() directly. With no onAnswer wired, retryPending returns immediately (deliver-null guard). With onAnswer wired, runs listPendingDeliveryAsks() and calls deliverAsk on each passing shouldRetry. Returns 200 {ok:true} always. Does not expose which asks were retried or their outcome. Protected by a scanInFlight mutex so concurrent /retry calls don't stack. [code: server/hwq-server.mjs:97-115,179-181]",Hermes can call /retry after observing a delivery error in /status to force immediate re-delivery without waiting for the backoff interval.,tested-pass,
F037,gate,GET /docrev — file mtime for doc hot-reload,"As the in-doc JS polling client, I call /docrev?path=<docPath> to detect when the rendered HTML changed on disk so I can reload and pick up re-rendered question cards.","Resolves ?path relative to docsRoot (stripping a leading /docs/ prefix). Path-traversal guard: resolved path must be inside docsRoot or equal it, else 403 {ok:false, error:'Forbidden'}. Directories resolve to index.html inside. Returns 200 {ok:true, mtime:<mtimeMs>}; returns mtime:0 for missing files (not a 404). [code: server/hwq-server.mjs:183-196]","Low direct Hermes relevance — consumed by the rendered doc's browser JS. When Hermes re-runs render, the doc client uses /docrev to reload without a full server restart.",tested-pass,
